plot,alt,LC,LC-cat,aspect,simspr,simwin,shanspr,shanwin,sppspr,sppwin,logshanspr,logsppspr,logshanwin,logsppwin
61EC1,2200,C,C1,E,0.224489796,0.5,1.549826046,0.693147181,7,2,0.406510553,0.903089987,0.228694712,0.477121255
62EC1,2600,C,C1,E,0.36,0.52,1.054920168,0.673011667,5,5,0.312794955,0.77815125,0.22349897,0.77815125
64EC1,3400,C,C1,E,0.75443787,0.662222222,0.566975579,0.627705257,52,15,0.195062228,1.72427587,0.211575766,1.204119983
61EC2,2200,C,C2,E,0.36,1,1.054920168,0,5,2,0.312794955,0.77815125,0,0.477121255
64EC2,3400,C,C2,E,0.605,0.5,0.687435751,0.693147181,40,2,0.227227246,1.612783857,0.228694712,0.477121255
61EE1,2200,E,E1,E,0.24,0.555555556,1.609437912,0.636514168,10,6,0.416546968,1.041392685,0.21391977,0.84509804
63EE1,3000,E,E1,E,0.306122449,0,1.277034259,0,7,0,0.357369565,0.903089987,0,0
64EE1,3400,E,E1,E,0.142857143,1,2.007556307,0,14,1,0.478213767,1.176091259,0,0.301029996
65EE1,3800,E,E1,E,0.26,0.346938776,1.470808476,1.078992208,10,7,0.392839082,1.041392685,0.317852862,0.903089987
61EE2,2200,E,E2,E,0.283950617,0.375,1.427061043,1.039720771,9,4,0.385080699,1,0.309570718,0.698970004
63EE2,3000,E,E2,E,0.277777778,1,1.329661349,0,6,2,0.367292794,0.84509804,0,0.477121255
64EE2,3400,E,E2,E,0.234567901,0.5,1.522955068,0.867563228,9,6,0.401909516,1,0.271275314,0.84509804
65EE2,3800,E,E2,E,0.28125,0.26,1.320888343,1.470808476,8,10,0.365654247,0.954242509,0.392839082,1.041392685
61EF1,2200,F,F1,E,0.114583333,0.283950617,2.32289388,1.427061043,24,9,0.521516472,1.397940009,0.385080699,1
62EF1,2600,F,F1,E,0.224489796,0.224489796,1.549826046,1.549826046,7,7,0.406510553,0.903089987,0.406510553,0.903089987
63EF1,3000,F,F1,E,0.226666667,0.5,1.714087541,0.693147181,15,2,0.433623851,1.204119983,0.228694712,0.477121255
64EF1,3400,F,F1,E,0.284949435,0.387755102,1.691614043,1.153741943,41,7,0.430012785,1.62324929,0.333193666,0.903089987
65EF1,3800,F,F1,E,0.224489796,0.333333333,1.549826046,1.098612289,7,6,0.406510553,0.903089987,0.321932212,0.84509804
61EF2,2200,F,F2,E,0.375,0.333333333,1.039720771,1.098612289,4,3,0.309570718,0.698970004,0.321932212,0.602059991
62EF2,2600,F,F2,E,0.375,0.387755102,1.039720771,1.153741943,4,7,0.309570718,0.698970004,0.333193666,0.903089987
63EF2,3000,F,F2,E,0.44,1,0.950270539,0,5,1,0.29009486,0.77815125,0,0.301029996
64EF2,3400,F,F2,E,0.277777778,0.555555556,1.424129917,0.636514168,12,3,0.384555891,1.113943352,0.21391977,0.602059991
65EF2,3800,F,F2,E,0.388888889,0.375,1.011404265,1.039720771,6,4,0.303499367,0.84509804,0.309570718,0.698970004
61EM1,2200,M,M1,E,0.25,0.259259259,1.386294361,1.58109375,4,9,0.377724015,0.698970004,0.411803779,1
63EM1,3000,M,M1,E,0.305785124,0.5,1.288252305,0.693147181,11,2,0.359503909,1.079181246,0.228694712,0.477121255
64EM1,3400,M,M1,E,0.531368103,0.333333333,1.05001066,1.098612289,63,3,0.311756119,1.806179974,0.321932212,0.602059991
65EM1,3800,M,M1,E,1,1,0,0,2,1,0,0.477121255,0,0.301029996
61EM2,2200,M,M2,E,0.5,0.333333333,0.693147181,1.098612289,2,3,0.228694712,0.477121255,0.321932212,0.602059991
63EM2,3000,M,M2,E,0.375,0,1.039720771,0,4,0,0.309570718,0.698970004,0,0
64EM2,3400,M,M2,E,0.388888889,1,1.011404265,0,6,1,0.303499367,0.84509804,0,0.301029996
65EM2,3800,M,M2,E,0.5,0.375,0.693147181,1.039720771,2,8,0.228694712,0.477121255,0.309570718,0.954242509
61WC1,2200,C,C1,W,0.34375,1,1.08219553,0.693147181,8,2,0.31852151,0.954242509,0.228694712,0.477121255
62WC1,2600,C,C1,W,0.388888889,0.265306122,1.011404265,1.351783994,6,7,0.303499367,0.84509804,0.37139743,0.903089987
63WC1,3000,C,C1,W,0.28,0.333333333,1.33217904,1.098612289,5,3,0.367761888,0.77815125,0.321932212,0.602059991
64WC1,3400,C,C1,W,0.234567901,0.5,1.522955068,0.693147181,9,2,0.401909516,1,0.228694712,0.477121255
61WC2,2200,C,C2,W,0.555555556,0.333333333,0.636514168,1.098612289,3,3,0.21391977,0.602059991,0.321932212,0.602059991
62WC2,2600,C,C2,W,0.308641975,0.396121884,1.273028337,1.191369516,9,19,0.35660485,1,0.340715616,1.301029996
63WC2,3000,C,C2,W,0.333333333,0.708333333,1.098612289,0.566085739,3,12,0.321932212,0.602059991,0.194815535,1.113943352
64WC2,3400,C,C2,W,0.388888889,0.36,1.011404265,1.054920168,12,5,0.303499367,1.113943352,0.312794955,0.77815125
61WE1,2200,E,E1,W,0.28125,0.44,1.320888343,0.950270539,8,5,0.365654247,0.954242509,0.29009486,0.77815125
62WE1,2600,E,E1,W,0.159763314,0.15625,1.884871334,1.906154747,13,8,0.460126448,1.146128036,0.463318736,0.954242509
63WE1,3000,E,E1,W,0.156899811,0.25,1.959568517,1.386294361,23,4,0.471228399,1.380211242,0.377724015,0.698970004
64WE1,3400,E,E1,W,0.195266272,1,1.711845135,0,13,2,0.433264885,1.146128036,0,0.477121255
65WE1,3800,E,E1,W,0.216049383,0.274238227,1.647918433,1.485181757,18,19,0.422904603,1.278753601,0.395358157,1.301029996
61WE2,2200,E,E2,W,0.555555556,0.375,0.636514168,1.039720771,3,4,0.21391977,0.602059991,0.309570718,0.698970004
62WE2,2600,E,E2,W,0.183673469,0.224489796,1.747868097,1.549826046,7,7,0.438995882,0.903089987,0.406510553,0.903089987
63WE2,3000,E,E2,W,0.240740741,0.208333333,1.594514448,1.676234939,18,12,0.414056093,1.278753601,0.427524236,1.113943352
64WE2,3400,E,E2,W,0.747919144,0.555555556,0.592402878,0.636514168,29,3,0.202052954,1.477121255,0.21391977,0.602059991
65WE2,3800,E,E2,W,0.185185185,0.26,1.735126457,1.470808476,9,10,0.43697741,1,0.392839082,1.041392685
61WF1,2200,F,F1,W,0,0.59375,0,0.73562194,0,8,0,0,0.239455131,0.954242509
62WF1,2600,F,F1,W,0.132653061,0.277777778,2.106577333,1.329661349,14,6,0.492282169,1.176091259,0.367292794,0.84509804
63WF1,3000,F,F1,W,0.128163265,0.28,2.294781005,1.33217904,35,5,0.517826554,1.556302501,0.367761888,0.77815125
64WF1,3400,F,F1,W,0.164444444,0.28,1.753273319,1.33217904,15,5,0.439849326,1.204119983,0.367761888,0.77815125
65WF1,3800,F,F1,W,0.21875,0.28125,1.559581156,1.320888343,8,8,0.408168904,0.954242509,0.365654247,0.954242509
61WF2,2200,F,F2,W,0.428571429,0.183431953,0.955699891,1.818483163,7,13,0.291302212,0.903089987,0.450015445,1.146128036
62WF2,2600,F,F2,W,0.160493827,0.25,1.889159164,1.494175138,9,8,0.460771468,1,0.396926946,0.954242509
63WF2,3000,F,F2,W,0.23183391,0.24,1.705769315,1.609437912,17,10,0.432290767,1.255272505,0.416546968,1.041392685
64WF2,3400,F,F2,W,0.375,0.555555556,1.039720771,0.636514168,4,3,0.309570718,0.698970004,0.21391977,0.602059991
65WF2,3800,F,F2,W,0.195266272,0.26,1.697733591,1.470808476,13,10,0.43099906,1.146128036,0.392839082,1.041392685
61WM1,2200,M,M1,W,0.5,1,0.693147181,0,4,2,0.228694712,0.698970004,0,0.477121255
61WM2,2200,M,M1,W,1,1,0,0,1,1,0,0.301029996,0,0.301029996
62WM1,2600,M,M1,W,0.625,1,0.562335145,0,4,1,0.193774202,0.698970004,0,0.301029996
63WM1,3000,M,M1,W,0.190672154,0.42,1.819439148,1.088899975,27,10,0.450162726,1.447158031,0.319917645,1.041392685
64WM1,3400,M,M1,W,0.25,0.5,1.494175138,0.693147181,8,2,0.396926946,0.954242509,0.228694712,0.477121255
65WM1,3800,M,M1,W,0.5,1,0.693147181,0,2,2,0.228694712,0.477121255,0,0.477121255
62WM2,2600,M,M2,W,1,1,0,0,1,2,0,0.301029996,0,0.477121255
63WM2,3000,M,M2,W,0.407407407,1,1.395096369,0,11,2,0.379322992,1.079181246,0,0.477121255
64WM2,3400,M,M2,W,0.25,0.68,1.494175138,0.500402424,8,5,0.396926946,0.954242509,0.176207757,0.77815125
65WM2,3800,M,M2,W,1,0.375,0,1.039720771,1,4,0,0.301029996,0.309570718,0.698970004
